#separator:tab
#html:true
"<div id=""kard"">
<div class=""tags"">MileDown::General_Chemistry::Atomic_Structure</div>
<img src=""Element Notation (1).png""><div><br><div><div>In element notation, A is the<font color=""#e12727"">&nbsp;</font><span class=""cloze"" data-cloze=""Mass&#x20;number"" data-ordinal=""1"">[...]</span></div></div></div>
</div>"	"<div id=""kard"">
    <div class=""tags"" id='tags'>MileDown::General_Chemistry::Atomic_Structure</div>
    <img src=""Element Notation (1).png""><div><br><div><div>In element notation, A is the<font color=""#e12727"">&nbsp;</font><span class=""cloze"" data-ordinal=""1"">Mass number</span></div></div></div>
    <div>&nbsp;</div>
    <div id='extra'><div><img src=""Mass Number.png"" /></div><div><br /></div>
<a href=""https://www.khanacademy.org/science/biology/chemistry--of-life/elements-and-atoms/v/introduction-to-the-atom"">Khan Academy Link</a></div>
</div>"
"<div id=""kard"">
<div class=""tags"">MileDown::All_MCAT_Equations::Gen_Chem MileDown::General_Chemistry::Equations MileDown::General_Chemistry::Light::Equations</div>
Give the equation for <u>energy of a photon</u>:<div><br></div><div><span class=""cloze"" data-cloze=""&lt;img&#x20;src&#x3D;&quot;Light&#x20;Energy&#x20;Complete&#x2E;png&quot;&gt;"" data-ordinal=""1"">[...]</span></div>
</div>"	"<div id=""kard"">
    <div class=""tags"" id='tags'>MileDown::All_MCAT_Equations::Gen_Chem MileDown::General_Chemistry::Equations MileDown::General_Chemistry::Light::Equations</div>
    Give the equation for <u>energy of a photon</u>:<div><br></div><div><span class=""cloze"" data-ordinal=""1""><img src=""Light Energy Complete.png""></span></div>
    <div>&nbsp;</div>
    <div id='extra'><div>E = energy of a photon</div>h =&nbsp;Planck’s Constant<div>c = speed of light</div><div>λ = wavelength</div><div>f = photon frequency</div><div><br><div><a href=""https://www.khanacademy.org/science/physics/quantum-physics/photons/v/photon-energy"">Khan Academy Link</a></div></div></div>
</div>"
"<div id=""kard"">
<div class=""tags"">MileDown::General_Chemistry::Atomic_Structure</div>
<i>Diamagnetic</i> materials are&nbsp;<span class=""cloze"" data-cloze=""repelled"" data-ordinal=""1"">[...]</span>&nbsp;by an external magnetic field
</div>"	"<div id=""kard"">
    <div class=""tags"" id='tags'>MileDown::General_Chemistry::Atomic_Structure</div>
    <i>Diamagnetic</i> materials are&nbsp;<span class=""cloze"" data-ordinal=""1"">repelled</span>&nbsp;by an external magnetic field
    <div>&nbsp;</div>
    <div id='extra'><div>All electrons are <i>paired</i> and have opposing spins&nbsp;↑↓</div><div><br /></div><div><img src=""Diamagnetic.jpeg"" /></div><div><br /></div><div><a href=""https://www.khanacademy.org/science/chemistry/electronic-structure-of-atoms/electron-configurations-jay-sal/v/paramagnetism-and-diamagnetism"">Khan Academy Link</a></div></div>
</div>"
"<div id=""kard"">
<div class=""tags"">MileDown::General_Chemistry::Atomic_Structure</div>
<u>Paramagnetic</u> materials are&nbsp;<span class=""cloze"" data-cloze=""pulled&lt;font&#x20;color&#x3D;&quot;&#x23;0d73ff&quot;&gt;&amp;nbsp&#x3B;&lt;&#x2F;font&gt;into"" data-ordinal=""1"">[...]</span>&nbsp;an external magnetic field
</div>"	"<div id=""kard"">
    <div class=""tags"" id='tags'>MileDown::General_Chemistry::Atomic_Structure</div>
    <u>Paramagnetic</u> materials are&nbsp;<span class=""cloze"" data-ordinal=""1"">pulled<font color=""#0d73ff"">&nbsp;</font>into</span>&nbsp;an external magnetic field
    <div>&nbsp;</div>
    <div id='extra'><div>Contain one or more <u>unpaired</u> electrons with spin&nbsp;↑<span class=""Apple-tab-span"" style=""white-space:pre""> </span></div><div><br /></div><div><img src=""Paramagnetism (1).png"" /></div><div><br /></div>
<a href=""https://www.khanacademy.org/science/chemistry/electronic-structure-of-atoms/electron-configurations-jay-sal/v/paramagnetism-and-diamagnetism"">Khan Academy Link</a></div>
</div>"
"<div id=""kard"">
<div class=""tags"">MileDown::General_Chemistry::Atomic_Structure</div>
He is <span class=""cloze"" data-cloze=""diamagnetic"" data-ordinal=""1"">[diamagnetic or paramagnetic]</span>
</div>"	"<div id=""kard"">
    <div class=""tags"" id='tags'>MileDown::General_Chemistry::Atomic_Structure</div>
    He is <span class=""cloze"" data-ordinal=""1"">diamagnetic</span>
    <div>&nbsp;</div>
    <div id='extra'><div><img src=""Diamagnetic vs Paramagnetic.png"" /></div><div><br /></div><div><a href=""https://www.khanacademy.org/science/chemistry/electronic-structure-of-atoms/electron-configurations-jay-sal/v/paramagnetism-and-diamagnetism"">Khan Academy Link</a></div></div>
</div>"
"<div id=""kard"">
<div class=""tags"">MileDown::General_Chemistry::Atomic_Structure</div>
Li is <span class=""cloze"" data-cloze=""paramagnetic"" data-ordinal=""1"">[diamagnetic or paramagnetic]</span>
</div>"	"<div id=""kard"">
    <div class=""tags"" id='tags'>MileDown::General_Chemistry::Atomic_Structure</div>
    Li is <span class=""cloze"" data-ordinal=""1"">paramagnetic</span>
    <div>&nbsp;</div>
    <div id='extra'><div><img src=""Diamagnetic vs Paramagnetic.png"" /></div><div><br /></div><div><a href=""https://www.khanacademy.org/science/chemistry/electronic-structure-of-atoms/electron-configurations-jay-sal/v/paramagnetism-and-diamagnetism"">Khan Academy Link</a></div></div>
</div>"
"<div id=""kard"">
<div class=""tags"">MileDown::General_Chemistry::Atomic_Structure::Quantum_Numbers</div>
Quantum number&nbsp;<span class=""cloze"" data-cloze=""n"" data-ordinal=""1"">[...]</span> is the <i>principal</i> quantum number and gives the electron <span class=""cloze"" data-cloze=""&lt;i&gt;energy&#x20;level&lt;&#x2F;i&gt;&#x20;or&amp;nbsp&#x3B;&lt;i&gt;shell&#x20;number&lt;&#x2F;i&gt;"" data-ordinal=""1"">[...]</span>
</div>"	"<div id=""kard"">
    <div class=""tags"" id='tags'>MileDown::General_Chemistry::Atomic_Structure::Quantum_Numbers</div>
    Quantum number&nbsp;<span class=""cloze"" data-ordinal=""1"">n</span> is the <i>principal</i> quantum number and gives the electron <span class=""cloze"" data-ordinal=""1""><i>energy level</i> or&nbsp;<i>shell number</i></span>
    <div>&nbsp;</div>
    <div id='extra'><div><div><div>1, 2, 3, ...</div><div><br></div><div>Except for d- and f-orbitals,&nbsp;the shell # matches the row of&nbsp;the periodic table</div></div></div><div><br></div><div><img src=""Principal Quantum Number.jpg""></div><div><br></div><div><img src=""Quantum Numbers.png""></div><div><br></div>
<a href=""https://www.khanacademy.org/science/physics/quantum-physics/quantum-numbers-and-orbitals/v/quantum-numbers"">Khan Academy Link</a></div>
</div>"
"<div id=""kard"">
<div class=""tags"">MileDown::General_Chemistry::Atomic_Structure::Quantum_Numbers</div>
Quantum number <span class=""cloze"" data-cloze=""l"" data-ordinal=""1"">[...]</span> is the <i>azimuthal</i> quantum number and gives the <span class=""cloze"" data-cloze=""&lt;i&gt;3D&#x20;shape&lt;&#x2F;i&gt;&amp;nbsp&#x3B;&#x28;subshell&#x29;"" data-ordinal=""1"">[...]</span>&nbsp;of an orbital
</div>"	"<div id=""kard"">
    <div class=""tags"" id='tags'>MileDown::General_Chemistry::Atomic_Structure::Quantum_Numbers</div>
    Quantum number <span class=""cloze"" data-ordinal=""1"">l</span> is the <i>azimuthal</i> quantum number and gives the <span class=""cloze"" data-ordinal=""1""><i>3D shape</i>&nbsp;(subshell)</span>&nbsp;of an orbital
    <div>&nbsp;</div>
    <div id='extra'><div><div>0, 1, 2, …, n-1</div><div><br></div><div>0 = s orbital</div><div><div>1 = p orbital</div><div>2 = d orbital</div><div>3 = f orbital</div><div>4 = g orbital</div></div><div><br></div><div><img src=""Azimuthal Quantum Number.jpg""></div><div><br></div><div><img src=""Quantum Numbers.png""></div><div><br></div><div><a href=""https://www.khanacademy.org/science/physics/quantum-physics/quantum-numbers-and-orbitals/v/quantum-numbers"">Khan Academy Link</a></div></div></div>
</div>"
"<div id=""kard"">
<div class=""tags"">MileDown::General_Chemistry::Atomic_Structure::Quantum_Numbers</div>
Quantum number&nbsp;<span class=""cloze"" data-cloze=""m&lt;sub&gt;l&lt;&#x2F;sub&gt;"" data-ordinal=""1"">[...]</span>&nbsp;is the <b>magnetic</b> quantum number and gives the orbital <span class=""cloze"" data-cloze=""sub&#x2D;type"" data-ordinal=""1"">[...]</span>
</div>"	"<div id=""kard"">
    <div class=""tags"" id='tags'>MileDown::General_Chemistry::Atomic_Structure::Quantum_Numbers</div>
    Quantum number&nbsp;<span class=""cloze"" data-ordinal=""1"">m<sub>l</sub></span>&nbsp;is the <b>magnetic</b> quantum number and gives the orbital <span class=""cloze"" data-ordinal=""1"">sub-type</span>
    <div>&nbsp;</div>
    <div id='extra'><div>Integers&nbsp;-l&nbsp;to&nbsp;+l</div><div><br></div><div>The orientation of the electron's orbital with respect to the three axes in space, x, y, and z.</div><div><div><br></div></div><div><img src=""Magnetic Quantum Number.png""></div><div><br></div><div><img src=""Quantum Numbers.png""></div><div><br></div><div><a href=""https://www.khanacademy.org/science/physics/quantum-physics/quantum-numbers-and-orbitals/v/quantum-numbers"">Khan Academy Link</a></div></div>
</div>"
"<div id=""kard"">
<div class=""tags"">MileDown::General_Chemistry::Atomic_Structure::Quantum_Numbers</div>
Quantum number&nbsp;<span class=""cloze"" data-cloze=""m&lt;sub&gt;s&lt;&#x2F;sub&gt;"" data-ordinal=""1"">[...]</span>&nbsp;is the <u>spin</u> quantum number and gives the <span class=""cloze"" data-cloze=""electronic&#x20;spin"" data-ordinal=""1"">[...]</span>&nbsp;of the electron
</div>"	"<div id=""kard"">
    <div class=""tags"" id='tags'>MileDown::General_Chemistry::Atomic_Structure::Quantum_Numbers</div>
    Quantum number&nbsp;<span class=""cloze"" data-ordinal=""1"">m<sub>s</sub></span>&nbsp;is the <u>spin</u> quantum number and gives the <span class=""cloze"" data-ordinal=""1"">electronic spin</span>&nbsp;of the electron
    <div>&nbsp;</div>
    <div id='extra'><div>+1/2 or -1/2</div><div><br></div><div><img src=""Spin Quantum Number.jpg""></div><div><br></div><div><img src=""Quantum Numbers.png""></div><div><br></div><div><a href=""https://www.khanacademy.org/science/physics/quantum-physics/quantum-numbers-and-orbitals/v/quantum-numbers"">Khan Academy Link</a></div></div>
</div>"
"<div id=""kard"">
<div class=""tags"">MileDown::General_Chemistry::Atomic_Structure</div>
The maximum number of electrons in a single <i>energy level</i> in terms of <i>principal </i>quantum number =&nbsp;<span class=""cloze"" data-cloze=""2n&lt;sup&gt;2&lt;&#x2F;sup&gt;"" data-ordinal=""1"">[...]</span>
</div>"	"<div id=""kard"">
    <div class=""tags"" id='tags'>MileDown::General_Chemistry::Atomic_Structure</div>
    The maximum number of electrons in a single <i>energy level</i> in terms of <i>principal </i>quantum number =&nbsp;<span class=""cloze"" data-ordinal=""1"">2n<sup>2</sup></span>
    <div>&nbsp;</div>
    <div id='extra'>Example: What is the maximum number of electrons that can be in the second energy level?<div><br /></div><div>2n<sup>2</sup> =&nbsp;2(2<sup>2</sup>) = 8 electrons</div><div><br /></div><div><img src=""Electron Energy Level.png"" /></div><div><br /></div><a href=""https://www.youtube.com/watch?v=xg1UKBJIgEQ"">YouTube Link</a></div>
</div>"
"<div id=""kard"">
<div class=""tags"">MileDown::General_Chemistry::Atomic_Structure::Quantum_Numbers</div>
The maximum number of electrons&nbsp;in a single <i>subshell</i> in terms of the&nbsp;<i>azimuthal</i>&nbsp;quantum number =&nbsp;<span class=""cloze"" data-cloze=""4l&amp;nbsp&#x3B;&#x2B;&#x20;2"" data-ordinal=""1"">[...]</span>
</div>"	"<div id=""kard"">
    <div class=""tags"" id='tags'>MileDown::General_Chemistry::Atomic_Structure::Quantum_Numbers</div>
    The maximum number of electrons&nbsp;in a single <i>subshell</i> in terms of the&nbsp;<i>azimuthal</i>&nbsp;quantum number =&nbsp;<span class=""cloze"" data-ordinal=""1"">4l&nbsp;+ 2</span>
    <div>&nbsp;</div>
    <div id='extra'>The number of orbitals in a <i>subshell</i> = 2l + 1<div><br /></div><div>With a maximum of 2 electrons per orbital, the maximum number of electrons per <i>subshell</i> = 2(2l + 1) = 4l + 2</div><div><br /></div><div>Example: For the d <i>subshell</i>, we know the mathematical value for d is l = 2</div><div><br /></div><div>4l + 2 = 4(2) + 2 = 10 electrons at maximum in the d <i>subshell</i></div></div>
</div>"
"<div id=""kard"">
<div class=""tags"">MileDown::General_Chemistry::Atomic_Structure</div>
A/an <span class=""cloze"" data-cloze=""free&#x20;radical"" data-ordinal=""1"">[...]</span> is an atom or molecule with an <i>unpaired electron</i>
</div>"	"<div id=""kard"">
    <div class=""tags"" id='tags'>MileDown::General_Chemistry::Atomic_Structure</div>
    A/an <span class=""cloze"" data-ordinal=""1"">free radical</span> is an atom or molecule with an <i>unpaired electron</i>
    <div>&nbsp;</div>
    <div id='extra'><div><img src=""Free Radical.png"" /></div><div><br /></div><a href=""https://www.khanacademy.org/science/organic-chemistry/substitution-elimination-reactions/free-radical-reaction-alkanes/v/free-radical-reactions"">Khan Academy Link</a></div>
</div>"
"<div id=""kard"">
<div class=""tags"">MileDown::General_Chemistry::Atomic_Structure::Quantum_Numbers</div>
<div><img src=""S Orbital.png"" /></div><div><br /></div><div>The Azimuthal&nbsp;quantum number for this orbital is <span class=""cloze"" data-cloze=""0&#x20;&#x3D;&#x20;s&#x20;orbital"" data-ordinal=""1"">[...]</span></div>
</div>"	"<div id=""kard"">
    <div class=""tags"" id='tags'>MileDown::General_Chemistry::Atomic_Structure::Quantum_Numbers</div>
    <div><img src=""S Orbital.png"" /></div><div><br /></div><div>The Azimuthal&nbsp;quantum number for this orbital is <span class=""cloze"" data-ordinal=""1"">0 = s orbital</span></div>
    <div>&nbsp;</div>
    <div id='extra'><img src=""S Orbital Complete (1).png"" /><div><br /><div><a href=""https://www.youtube.com/watch?v=qVtMKejyBiE"">YouTube Link</a></div></div></div>
</div>"
"<div id=""kard"">
<div class=""tags"">MileDown::General_Chemistry::Atomic_Structure::Quantum_Numbers</div>
<img src=""P Orbital.png"" /><br /><div><br /></div><div>The Azimuthal&nbsp;quantum number for this orbital is <span class=""cloze"" data-cloze=""1&#x20;&#x3D;&#x20;p&#x20;orbital"" data-ordinal=""1"">[...]</span></div>
</div>"	"<div id=""kard"">
    <div class=""tags"" id='tags'>MileDown::General_Chemistry::Atomic_Structure::Quantum_Numbers</div>
    <img src=""P Orbital.png"" /><br /><div><br /></div><div>The Azimuthal&nbsp;quantum number for this orbital is <span class=""cloze"" data-ordinal=""1"">1 = p orbital</span></div>
    <div>&nbsp;</div>
    <div id='extra'><img src=""P Orbital Complete.png"" /><div><br /><div><div><a href=""https://www.youtube.com/watch?v=qVtMKejyBiE"">YouTube Link</a></div></div></div></div>
</div>"
"<div id=""kard"">
<div class=""tags"">MileDown::General_Chemistry::Atomic_Structure::Quantum_Numbers</div>
<img src=""D Orbital.png"" /><br /><div><br /></div><div>The Azimuthal&nbsp;quantum number for this orbital is <span class=""cloze"" data-cloze=""2&#x20;&#x3D;&#x20;d&#x20;orbital"" data-ordinal=""1"">[...]</span></div>
</div>"	"<div id=""kard"">
    <div class=""tags"" id='tags'>MileDown::General_Chemistry::Atomic_Structure::Quantum_Numbers</div>
    <img src=""D Orbital.png"" /><br /><div><br /></div><div>The Azimuthal&nbsp;quantum number for this orbital is <span class=""cloze"" data-ordinal=""1"">2 = d orbital</span></div>
    <div>&nbsp;</div>
    <div id='extra'><img src=""D Orbital Complete.png"" />&nbsp;<div><br /><div><a href=""https://www.youtube.com/watch?v=qVtMKejyBiE"">YouTube Link</a></div></div></div>
</div>"
"<div id=""kard"">
<div class=""tags"">MileDown::General_Chemistry::Atomic_Structure::Quantum_Numbers</div>
<img src=""F Oribtal.png"" /><br /><div><br /></div><div>The Azimuthal&nbsp;quantum number for this orbital is <span class=""cloze"" data-cloze=""3&#x20;&#x3D;&#x20;f&#x20;orbital"" data-ordinal=""1"">[...]</span></div>
</div>"	"<div id=""kard"">
    <div class=""tags"" id='tags'>MileDown::General_Chemistry::Atomic_Structure::Quantum_Numbers</div>
    <img src=""F Oribtal.png"" /><br /><div><br /></div><div>The Azimuthal&nbsp;quantum number for this orbital is <span class=""cloze"" data-ordinal=""1"">3 = f orbital</span></div>
    <div>&nbsp;</div>
    <div id='extra'><img src=""F Orbital Complete.png"" /><div><br /><div><a href=""https://www.youtube.com/watch?v=qVtMKejyBiE"">YouTube Link</a></div></div></div>
</div>"
"<div id=""kard"">
<div class=""tags"">MileDown::General_Chemistry::Atomic_Structure::Quantum_Numbers</div>
<img src=""Periodic Table Orbitals.png"" /><div><br /><div>Give the <u>principal</u> and <i>azimuthal</i> quantum number labels for the periodic table</div></div><div><br /></div><div><span class=""cloze"" data-cloze=""&lt;img&#x20;src&#x3D;&quot;Periodic&#x20;Table&#x20;Orbitals&#x20;Complete&#x2E;png&quot;&#x20;&#x2F;&gt;"" data-ordinal=""1"">[...]</span></div>
</div>"	"<div id=""kard"">
    <div class=""tags"" id='tags'>MileDown::General_Chemistry::Atomic_Structure::Quantum_Numbers</div>
    <img src=""Periodic Table Orbitals.png"" /><div><br /><div>Give the <u>principal</u> and <i>azimuthal</i> quantum number labels for the periodic table</div></div><div><br /></div><div><span class=""cloze"" data-ordinal=""1""><img src=""Periodic Table Orbitals Complete.png"" /></span></div>
    <div>&nbsp;</div>
    <div id='extra'><div><u>Principal</u>&nbsp;(n) quantum number = 1, 2, 3, ...</div><div><i>Azimuthal</i>&nbsp;(l) quantum number = &nbsp;0, 1, 2, …, n-1</div><div><br /></div><div><a href=""https://www.khanacademy.org/science/biology/chemistry--of-life/electron-shells-and-orbitals/v/periodic-table-groups"">Khan Academy Link</a></div></div>
</div>"
"<div id=""kard"">
<div class=""tags"">MileDown::General_Chemistry::Atomic_Structure</div>
The <span class=""cloze"" data-cloze=""Aufbau&#x20;Principle"" data-ordinal=""1"">[... Principle]</span> states that electrons will <u>fill the lower energy</u> levels before moving to higher energy orbitals
</div>"	"<div id=""kard"">
    <div class=""tags"" id='tags'>MileDown::General_Chemistry::Atomic_Structure</div>
    The <span class=""cloze"" data-ordinal=""1"">Aufbau Principle</span> states that electrons will <u>fill the lower energy</u> levels before moving to higher energy orbitals
    <div>&nbsp;</div>
    <div id='extra'><img src=""Screenshot 2019-03-29 09.43.35.png"" /><div><br />
<a href=""ahttps://www.khanacademy.org/science/chemistry/electronic-structure-of-atoms/electron-configurations-jay-sal/v/electron-configurations-for-the-first-period"">Khan Academy Link</a></div></div>
</div>"
